condition,project,subject_id,session_id,run_id,functional_path,anatomical_path,data_root,
VisualTest,MethodsPaper,sub-methods01,ses-231221,run-164739,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods01/ses-231221/run-164739/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods01/ses-231221/run-163714/,data03,
VisualTest,MethodsPaper,sub-methods03,ses-240112,run-124507,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods03/ses-240112/run-124507/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods03/ses-240112/run-123417/,data03,
VisualTest,MethodsPaper,sub-methods04,ses-240112,run-142450,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods04/ses-240112/run-142450/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods04/ses-240112/run-141441/,data03,
VisualTest,MethodsPaper,sub-methods05,ses-240130,run-114737,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods05/ses-240130/run-114737/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods05/ses-240130/run-112415/,data03,
VisualTest,MethodsPaper,sub-methods01,ses-231220,run-153002,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods01/ses-231220/run-153002/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods01/ses-231220/run-150626/,data03,
VisualTest,MethodsPaper,sub-methods02,ses-231220,run-142742,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods02/ses-231220/run-142742/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods02/ses-231220/run-134717/,data03,
VisualTest,MethodsPaper,sub-methods02,ses-231221,run-152916,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods02/ses-231221/run-152916/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods02/ses-231221/run-150820/,data03,
VisualTest,MethodsPaper,sub-methods03,ses-240108,run-142230,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods03/ses-240108/run-142230/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods03/ses-240108/run-140635/,data03,
VisualTest,MethodsPaper,sub-methods03,ses-240108,run-144522,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods03/ses-240108/run-144522/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods03/ses-240108/run-140635/,data03,
VisualTest,MethodsPaper,sub-methods03,ses-240108,run-150701,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods03/ses-240108/run-150701/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods03/ses-240108/run-140635/,data03,
VisualTest,MethodsPaper,sub-methods03,ses-240110,run-104841,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods03/ses-240110/run-104841/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods03/ses-240110/run-103350/,data03,
VisualTest,MethodsPaper,sub-methods03,ses-240110,run-111054,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods03/ses-240110/run-111054/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods03/ses-240110/run-103350/,data03,
VisualTest,MethodsPaper,sub-methods03,ses-240111,run-140450,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods03/ses-240111/run-140450/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods03/ses-240111/run-135158/,data03,
VisualTest,MethodsPaper,sub-methods03,ses-240111,run-142648,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods03/ses-240111/run-142648/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods03/ses-240111/run-135158/,data03,
VisualTest,MethodsPaper,sub-methods04,ses-240108,run-161356,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods04/ses-240108/run-161356/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods04/ses-240108/run-154044/,data03,
VisualTest,MethodsPaper,sub-methods04,ses-240108,run-163615,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods04/ses-240108/run-163615/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods04/ses-240108/run-154044/,data03,
VisualTest,MethodsPaper,sub-methods04,ses-240110,run-115826,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods04/ses-240110/run-115826/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods04/ses-240110/run-114616/,data03,
VisualTest,MethodsPaper,sub-methods04,ses-240110,run-122011,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods04/ses-240110/run-122011/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods04/ses-240110/run-114616/,data03,
VisualTest,MethodsPaper,sub-methods04,ses-240111,run-152201,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods04/ses-240111/run-152201/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods04/ses-240111/run-150224/,data03,
VisualTest,MethodsPaper,sub-methods04,ses-240111,run-154343,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods04/ses-240111/run-154343/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods04/ses-240111/run-150224/,data03,
VisualTest,MethodsPaper,sub-methods05,ses-240126,run-101347,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods05/ses-240126/run-101347/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods05/ses-240126/run-100106/,data03,
VisualTest,MethodsPaper,sub-methods05,ses-240129,run-112118,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods05/ses-240129/run-112118/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods05/ses-240129/run-110828/,data03,
VisualTest,MethodsPaper,sub-methods02,ses-231219,run-142136,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods02/ses-231219/run-142136/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods02/ses-231219/run-140232/,data03,
VisualTest,MethodsPaper,sub-methods05,ses-240125,run-143014,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods05/ses-240125/run-143014/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods05/ses-240125/run-141727/,data03,
ShockTest,MethodsPaper,sub-methods02,ses-240103,run-142553,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods02/ses-240103/run-142553/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods02/ses-240103/run-140517/,data03,
ShockTest,MethodsPaper,sub-methods01,ses-240104,run-155221,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods01/ses-240104/run-155221/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods01/ses-240104/run-151641/,data03,
ShockTest,MethodsPaper,sub-methods01,ses-240105,run-141931,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods01/ses-240105/run-141931/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods01/ses-240105/run-134709/,data03,
ShockTest,MethodsPaper,sub-methods01,ses-240112,run-104836,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods01/ses-240112/run-104836/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods01/ses-240112/run-102532/,data03,
ShockTest,MethodsPaper,sub-methods03,ses-240115,run-151028,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods03/ses-240115/run-151028/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods03/ses-240115/run-145032/,data03,
ShockTest,MethodsPaper,sub-methods03,ses-240116,run-105152,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods03/ses-240116/run-105152/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods03/ses-240116/run-103209/,data03,
ShockTest,MethodsPaper,sub-methods03,ses-240119,run-100517,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods03/ses-240119/run-100517/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods03/ses-240119/run-094051/,data03,
ShockTest,MethodsPaper,sub-methods04,ses-240116,run-123050,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods04/ses-240116/run-123050/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods04/ses-240116/run-120905/,data03,
ShockTest,MethodsPaper,sub-methods04,ses-240119,run-120725,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods04/ses-240119/run-120725/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods04/ses-240119/run-115020/,data03,
ShockTest,MethodsPaper,sub-methods05,ses-240201,run-101850,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods05/ses-240201/run-101850/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods05/ses-240201/run-100114/,data03,
ShockTest,MethodsPaper,sub-methods05,ses-240202,run-101117,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods05/ses-240202/run-101117/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods05/ses-240202/run-095105/,data03,
ShockTest,MethodsPaper,sub-methods05,ses-240207,run-160841,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods05/ses-240207/run-160841/,/data03/fUSIMethodsPaper_SAMPLE/Data_analysis/sub-methods05/ses-240207/run-154622/,data03,
